"ResourceAgencyNum","ParentAgency","PublicName","AlternateName","ParentAgencyNum","MailingAddress1","MailingAddress2","MailingCity","MailingStateProvince","MailingPostalCode","MailingCountry","PhysicalAddress1","PhysicalAddress2","PhysicalCity","PhysicalCounty","PhysicalStateProvince","PhysicalPostalCode","PhysicalCountry","Latitude","Longitude","Phone1Number","Phone2Number","Phone3Number","Phone4Number","Phone5Number","PhoneFax","PhoneTTY","EmailAddressMain","WebsiteAddress","AgencyStatus","AgencyDescription","SearchHints","EnteredOn","UpdatedOn","Coverage","Categories"
9491017,"A Valiant Recovery","A Valiant Recovery",,0,"116-7841 Highway 97",,"Kelowna","BC","V4V 1E7","Canada","116-7841 Highway 97",,"Kelowna",,"BC","V4V 1E7","Canada",49.99,-119.40,"250-878-5876","1-877-618-6464",,,,"250-860-9685",,"admin@valiantrecovery.com","www.valiantrecovery.com","Active","Private agency provides customized treatment for addictions (including alcohol and drug, food, internet, and sex) in a Christian residential setting for people age 18 or older; up to eight beds available. Services include a minimum of 16 hours of one-on-one counselling each month as well as group sessions, spiritual therapy, art therapy, equine therapy, and recreational therapy. Also includes dealing with issues such as grief and loss, relapse prevention, and stress management. Clients must have gone through detox prior to arrival. Accepts self-referrals. Minimum stay is 30 days. Office hours are 9 am to 5 pm Monday to Friday; intake hours are 7 am to 10 pm Monday to Friday. Fees range from $13,000 to $18,000.","9491017",6/13/2011 0:00:00,4/5/2017 11:56:00,"BC - Kelowna - ; BC;","RESIDENTIAL PROGRAMS * addiction (alcohol and drug); RESIDENTIAL PROGRAMS * addiction (sex); RESIDENTIAL PROGRAMS * addiction (alcohol and drug) * Christian * Men; RESIDENTIAL PROGRAMS * addiction (alcohol and drug) * Christian * Women;"
45061804,"Abbeyfield Canada","Abbeyfield Canada",,0,"Abbeyfield Canada at Centre for Social Innovation","400-215 Spadina Avenue","Toronto","ON","M5T 2C7","Canada","Abbeyfield Canada at Centre for Social Innovation","400-215 Spadina Avenue","Toronto",,"ON","M5T 2C7","Canada",43.66,-79.40,"905-864-0100",,,,,,,"info@abbeyfield.ca","www.abbeyfield.ca","Active","Supports and promotes local community-based and volunteer-led Abbeyfield Societies to develop and manage local Abbeyfield Houses, which provide independent seniors with affordable residences. Residences are located in Armstrong, Courtenay, Duncan, Fort St. John, Golden, Kelowna, Port Alberni, Salt Spring Island, Sidney, Vancouver, Vernon, and Victoria. Non-profit society.","45061804",1/23/2017 10:56:00,3/23/2017 15:29:00,"ON - Toronto; BC - Armstrong; BC - Courtenay; BC - Duncan; BC - Fort St John; BC - Golden; BC - Kelowna; BC - Saltspring Island; BC - Sidney; BC - Vancouver; BC - Vernon; BC - Victoria;","ADMINISTRATION * housing * seniors;"
45085449,"Abbeyfield Canada","Abbeyfield Orchard City, Kelowna Society",,45061804,"1531 Bernard Avenue",,"Kelowna","BC","V1Y 6R8","Canada","1531 Bernard Avenue",,"Kelowna",,"BC","V1Y 6R8","Canada",49.88,-119.46,"(none)",,,,,,,"dianefle@shaw.ca","www.abbeyfield.ca","Active","Family-style retirement home for a small number of seniors who no longer wish to live alone yet want to remain independent. Provides live-in housekeepers and three meals a day. Also accepts seniors who qualify for the Shelter Aid for Elderly Renters (SAFER) rent subsidy. Nonprofit society.","Abbeyfield Canada 45085449",1/24/2017 15:25:00,3/24/2017 13:52:00,"BC - Kelowna;","HOUSING * Seniors;"
48162594,"Access Pro Bono Society of BC","Legal Advice Clinic - Kelowna",,9490170,,,,"BC",,"Canada","n/a",,"Kelowna",,"BC",,"Canada",50.67,-120.32,"1-877-762-6664",,,,,,,"help@accessprobono.ca","www.accessjustice.ca/public/apbclinics.asp?province=BC","Active","Volunteer lawyers provide free legal assistance in all areas of law to those who cannot afford legal services; means test required. Lawyers do not represent clients in court, but do give legal advice and help clients prepare for court appearances. Clients wanting ongoing help may have up to two appointments per month. Appointment required. Funded in part by the Law Foundation.<br /><br /><u>Elizabeth Fry Society</u> (women only)<br />1855 Kirschner Road<br /><br /><u>Kelowna City Park</u><br />1600 Abbott Street<br /><br /><u>Kelowna Family Centre</u><br />204-347 Leon Avenue<br /><br /><u>Ki-Low-Na Friendship Society</u><br />442 Leon Avenue","Access Pro Bono Society of BC 48162594",5/1/2017 11:40:00,5/1/2017 13:14:00,"BC - Kelowna;","LEGAL SERVICES; LEGAL SERVICES * Women;"
44439534,"Al-Anon - West Kelowna","Al-Anon - West Kelowna",,0,,,,"BC",,"Canada","n/a",,"West Kelowna",,"BC",,"Canada",50.03,-125.27,"1-888-425-2666",,,,,,,"afgcentraloffice@shaw.ca","www.bcyukon-al-anon.org","Active","12-step support groups for people whose lives have been affected by someone else's drinking. Meetings are held at 1 pm Tuesdays for women only in the theatre at The Heritage Retirement Residence, 3630 Brown Road, and for women and men at 7:30 pm Thursdays at Westbank United Church, 3672 Brown Road.","44439534",1/4/2017 13:32:00,5/4/2017 10:01:00,"BC - West Kelowna;","SUPPORT GROUPS * addiction (alcohol and drug) * Significant Others;"
43781581,"Al-Anon/Alateen - Kelowna","Al-Anon/Alateen - Kelowna",,0,,,,"BC",,"Canada","n/a",,"Kelowna",,"BC",,"Canada",49.88,-119.36,"250-763-5555","1-888-425-2666",,,,,,"afgcentraloffice@shaw.ca","www.bcyukonaa.org","Active","12-step support group for people whose lives have been affected by someone else's drinking. Meetings are held weekdays except Thursdays. Alateen meeting for youth are online at <a href=http://chat.alateen.net>chat.alateen.net</a><br /><br /><u>Mondays</u><br />10 am, Saint Michael's and All Angels Anglican Church, 608 Sutherland Avenue<br />7:30 pm, Knights of Columbus, 1161 Sutherland Avenue West<br /><br /><u>Tuesdays</u><br />7:30 pm, Fernbrae Manor (in Rutland), 295 Gerstmar Road (enter at side, left of main door)<br /><br /><u>Wednesdays</u><br />8 pm at Kalano Club, 2108 Vasile Road (behind Orchard Plaza)<br /><br /><u>Fridays</u><br />7:30 pm, First United Church, 721 Bernard Ave<br /><br /><u>Saturdays</u><br />10 am, Capital News Centre, 4105 Gordon Drive<br /><br />·","43781581",12/13/2016 15:53:00,5/4/2017 10:02:00,"BC - Kelowna - ;","SUPPORT GROUPS * addiction (alcohol and drug) * Significant Others; SUPPORT GROUPS * addiction (alcohol and drug) * Significant Others * Youth;"
9489553,"Alcoholics Anonymous (AA) - Kelowna","Alcoholics Anonymous (AA) - Kelowna",,0,,,,"BC",,"Canada","n/a",,"Kelowna",,"BC",,"Canada",49.88,-119.36,"250-763-5555",,,,,,,,"www.bcyukonaa.org/_pub/meetings/districts/dist_sql.php#Kelowna","Active","12-step support group for women and men who want to stop drinking or are recovering from alcoholism. Answering service lists meeting information and connects callers to an AA volunteer. Meetings are held daily.","9489553",1/1/1900 0:00:00,3/31/2017 14:14:00,"BC - Kelowna - ;","SUPPORT GROUPS * addiction (alcohol and drug);"
43804121,"Alcoholics Anonymous (AA) - West Kelowna","Alcoholics Anonymous (AA) - West Kelowna",,0,,,,"BC",,"Canada","n/a",,"West Kelowna",,"BC",,"Canada",49.77,-119.74,"250-826-9005","250-763-5555",,,,,,,"www.bcyukonaa.org","Active","12-step support group for men and women who want to stop drinking or are recovering from alcoholism. Volunteers answer this line 24 hours a day.<br /><br /><u>Mondays</u><br />7:30 pm, St Georges Anglican Church, 3690 Brown Road<br /><br /><u>Tuesdays</u><br />7:30 pm, Westbank United Church, 3672 Brown Road<br /><br /><u>Wednesdays</u><br />11 am, Westbank United Church, 3672 Brown Road<br /><br /><u>Thursdays</u><br />7 pm, Lakeview Heights Community Hall, 860 Anders Road<br /><br /><u>Saturdays</u><br />7:30 pm, Sunridge Community Church, 1190 Stevens Road (meets in the gazebo)<br /><br />·","Alcoholics Anonymous (AA) 43804121",12/15/2016 16:34:00,3/31/2017 11:41:00,"BC - West Kelowna;","SUPPORT GROUPS * addiction (alcohol and drug);"
9487395,"Allergy/Asthma Information Association - BC/Yukon Region","Allergy/Asthma Information Association - BC/Yukon Region",,0,"4730 Redridge Road",,"Kelowna","BC","V1W 3A6","Canada","4730 Redridge Road",,"Kelowna",,"BC","V1W 3A6","Canada",49.81,-119.45,"1-800-611-7011",,,,,"416-621-5034",,"bc@aaia.ca","www.aaia.ca","Active","Assists individuals and families with allergies, asthma, and anaphylaxis in understanding and living with these health conditions. Provides information and referral, advocacy, telephone support, and public education. Supports research and works in partnership with other health professionals, government, and industry. Aims to enhance anaphylaxis awareness in schools and also works to improve the labeling of food products. Offers a newsletter to members. Hours vary.","9487395",5/15/1984 0:00:00,5/2/2016 11:10:00,"YT - ; BC - Kelowna - ; BC - ;","INFORMATION AND REFERRAL * asthma; EDUCATION (public awareness) * allergies; EDUCATION (public awareness) * asthma; INFORMATION AND REFERRAL * allergies;"
47981824,"ALS Society of BC","Living with ALS - Kelowna Support Group",,9487396,,,,"BC",,"Canada","Capri Centre","100-1835 Gordon Drive","Kelowna",,"BC","V1Y 3H4","Canada",49.88,-119.47,"604-278-2257 Local 226",,,,,,,"loumar4@shaw.ca","www.alsbc.ca","Active","Volunteer-facilitated support group offering ALS patients and their family members, caregivers, and friends the opportunity to discuss issues related to living with ALS. Meets from 1 pm to 3 pm on the last Friday of each month except July and August.","ALS Society of BC 47981824",4/26/2017 9:34:00,4/26/2017 9:50:00,"BC - Kelowna;","SUPPORT GROUPS * amyotrophic lateral sclerosis;"
